,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8815908686291082,0.26292446,0.24812214,0.12756218,0.11284078,0.0,0.2590244,0.23690185,0.18902439,0.17177914,0.0083920955657958
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8332958131574029,0.22429761,0.21017182,0.11541222,0.09749079,0.0,0.22756103,0.2025767,0.15853658,0.13496932,0.008359670639038
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=16/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8686467409133911,0.24098802,0.2367443,0.10584405,0.10151278,0.3714733123779297,0.22633806,0.21988493,0.12195122,0.13496932,0.8953070640563965
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9149171113967896,0.26558986,0.25685546,0.11531846,0.10200705,0.337158203125,0.2481134,0.23043478,0.13414635,0.12883435,0.9607257843017578
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=2/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8668578863143921,0.24880686,0.23788354,0.107556894,0.09719677,0.2303776741027832,0.23196033,0.21613854,0.13414635,0.1196319,1.078299045562744
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9758693103870172,0.30076224,0.28445894,0.17285061,0.15764785,0.0,0.32323173,0.29987732,0.24390244,0.21165644,0.0002458095550537
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.860982358455658,0.23405735,0.22813363,0.10440231,0.10000185,0.3694124221801758,0.22143099,0.21406867,0.13414635,0.12269939,1.3964593410491943
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=4/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8415239453315735,0.21990506,0.2065435,0.102026425,0.09235375,0.275388240814209,0.21197896,0.1956255,0.1402439,0.1196319,1.0901048183441162
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=8/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9919755841337288,0.26605338,0.29880545,0.15150663,0.15586756,0.0,0.28453332,0.30527028,0.26666668,0.21621622,0.0087265968322753
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=1/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.996903627079802,0.34425867,0.3491757,0.13707069,0.14514187,0.0,0.30920002,0.31972972,0.17333333,0.20945945,0.0086545944213867
