,bound,kl,tS,tT,time
data=moons-0_02-6-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=6/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1202509179711341,10.59207534790039,0.0883589,0.09412306,186.410178899765
data=moons-0_02-6-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=6/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1141067072749137,19.88817596435547,0.09102344,0.092710204,189.49522709846497
data=moons-0_02-6-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=6/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0241900067776441,39.005157470703125,0.010882878,0.0036801652,194.09349131584167
data=moons-0_02-6-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=6/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1147960349917411,10.67121124267578,0.10405557,0.108221985,194.22153329849243
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1148094981908798,10.397987365722656,0.08807232,0.100365765,195.79551601409912
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1122763901948928,17.913787841796875,0.075579785,0.0914503,198.07499384880063
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0397436544299125,47.43670654296875,0.001753707,0.015369955,198.8506605625153
data=moons-0_02-6-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=6/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0689350888133049,20.60400390625,0.037886694,0.04157309,202.02570724487305
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1140711680054664,9.775680541992188,0.08858758,0.10001713,202.2716727256775
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1523712873458862,46.003204345703125,0.010578111,0.0034485369,203.55215167999268
data=moons-0_02-2-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1160669401288032,10.113914489746094,0.08997142,0.07956985,204.92000818252563
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.028256356716156,30.575927734375,0.015248834,0.012991936,207.7129991054535
data=moons-0_02-2-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0281344689428806,42.46856689453125,0.0026106213,0.07275102,208.5503916740417
data=moons-0_02-2-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1197599023580551,17.865142822265625,0.090957165,0.08505061,208.88121795654297
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=16/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1182434186339378,75.8797607421875,0.0008495327,0.005277291,210.6118049621582
data=moons-0_02-6-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=16/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=6/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1050308942794799,69.69622802734375,0.01629418,0.003771189,211.949640750885
data=moons-0_02-2-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1160950139164924,8.515632629394531,0.09118168,0.09591281,212.6986787319184
data=moons-0_02-4-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1134129166603088,10.734668731689451,0.087016836,0.113958046,214.72509479522705
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0434039793908596,52.704132080078125,0.013399184,0.009406875,217.94002842903137
data=moons-0_02-6-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=6/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0193596594035625,56.64508056640625,0.0020655254,0.0041710963,218.19886326789856
data=moons-0_02-4-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1069017425179481,17.337234497070312,0.03719873,0.10233939,220.9388966560364
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.114214688539505,19.742286682128903,0.08627817,0.08228878,221.76748156547544
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1173737868666648,9.644554138183594,0.09186994,0.084211655,222.2093276977539
data=moons-0_02-4-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1146470084786415,10.024246215820312,0.087166175,0.107730605,224.36079454422
data=moons-0_02-2-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=16/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0254155248403549,74.28775024414062,0.0008366368,0.05954443,227.6836814880371
data=moons-0_02-2-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0294477958232164,27.38134765625,0.02424249,0.012381181,221.8001425266266
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.018708199262619,57.2071533203125,0.006533982,0.002809505,228.2097954750061
data=moons-0_02-2-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=2/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0601245909929275,50.05694580078125,0.0073619345,0.013156436,228.54949140548703
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1162748038768768,9.67178726196289,0.091078855,0.100002274,231.09475564956665
data=moons-0_02-4-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0166972074657678,43.59205627441406,0.0036242255,0.0031918266,232.89837265014648
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1172076389193534,11.010509490966797,0.09030685,0.07756669,233.4567384719849
data=moons-0_02-4-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0508586578071117,27.5771484375,0.039267927,0.028869946,233.93251276016235
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1104031950235366,18.39513397216797,0.11719757,0.09101488,234.48574590682983
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0247407164424657,101.0020751953125,0.00044288326,0.0004929454,329.4867548942566
data=moons-0_02-1-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=16/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=1/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0955829471349716,74.01651000976562,0.0012372534,0.06195636,237.7033524513245
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.11738882958889,8.18819808959961,0.098167144,0.098376274,239.68354296684265
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0540637709200382,32.29974365234375,0.03814798,0.034510728,240.53208947181705
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.3651123940944671,16.628677368164062,0.04170704,0.06570455,240.96152305603027
data=moons-0_02-6-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=32/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=6/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0285064876079559,101.98931884765624,0.028673913,0.00653513,324.1696605682373
data=moons-0_02-6-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=16/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=6/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0226268991827964,81.184814453125,0.0011423058,0.0007281333,242.4590516090393
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0735354721546173,40.439239501953125,0.018114077,0.00848653,243.28051018714905
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=16/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0191673208028078,82.5902099609375,0.0005355203,0.0015579456,243.5850758552552
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0286914370954036,53.12896728515625,0.00795176,0.004973333,244.3202610015869
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1170656085014343,10.234115600585938,0.091023065,0.07791271,245.44102001190183
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=8/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.030571348965168,45.531280517578125,0.0010026274,0.0021799116,247.617201089859
data=moons-0_02-0-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=2/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,0.1161402985453605,8.329158782958984,0.09109118,0.08909946,249.35641956329343
data=moons-0_02-4-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=1/multi=False/nb_per_attribute=16/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=4/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0406408049166202,74.2972412109375,0.0012111239,0.002412986,249.533016204834
data=moons-0_02-3-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=3/sigmoid_c=100/sto_prior=1.0/voter=stump,0.06192621961236,30.235015869140625,0.034872096,0.02818041,252.426194190979
data=moons-0_02-5-5000/delta=0.05/epoch=2000/learner=bound-sto/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=4/nb_tree=100/prior=0.5/rand_n=100/risk=MC/seed=5/sigmoid_c=100/sto_prior=1.0/voter=stump,0.0286499056965112,32.2579345703125,0.011443754,0.016366756,253.5836696624756
