,bound,dS,dT,eS,eT,kl,rS,rT,tS,tT,time
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.40268457,0.527027,0.0048358440399169
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=tree,0.9925704216697294,0.26777065,0.2992216,0.15198132,0.15674053,0.0,0.28586665,0.30635133,0.26666668,0.21621622,9.608268737792967e-05
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=tree,0.8637593250776331,0.2438964,0.23841357,0.12372254,0.104044765,0.0,0.24567074,0.22325155,0.16463415,0.13496932,0.0001142024993896
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.40268457,0.527027,0.004836082458496
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=tree,0.9925704216697294,0.26777065,0.2992216,0.15198132,0.15674053,0.0,0.28586665,0.30635133,0.26666668,0.21621622,8.630752563476562e-05
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=tree,0.8637593250776331,0.2438964,0.23841357,0.12372254,0.104044765,0.0,0.24567074,0.22325155,0.16463415,0.13496932,0.0001091957092285
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=tree,0.8686467409133911,0.24098802,0.2367443,0.10584405,0.10151278,0.3714733123779297,0.22633806,0.21988493,0.12195122,0.13496932,1.0706629753112793
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=tree,1.188714861869812,0.2659968,0.2934998,0.120509595,0.15885057,0.3519887924194336,0.253508,0.30560046,0.17333333,0.24324325,0.8247873783111572
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.49847096,0.4969325,0.0070011615753173
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.9925704216697294,0.26777065,0.2992216,0.15198132,0.15674053,0.0,0.28586665,0.30635133,0.26666668,0.21621622,8.7738037109375e-05
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8637593250776331,0.2438964,0.23841357,0.12372254,0.104044765,0.0,0.24567074,0.22325155,0.16463415,0.13496932,0.0001022815704345
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.8686467409133911,0.24098802,0.2367443,0.10584405,0.10151278,0.3714733123779297,0.22633806,0.21988493,0.12195122,0.13496932,1.0706584453582764
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=tree,1.188714861869812,0.2659968,0.2934998,0.120509595,0.15885057,0.3519887924194336,0.253508,0.30560046,0.17333333,0.24324325,0.8290765285491943
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=tree,0.9925704216697294,0.26777065,0.2992216,0.15198132,0.15674053,0.0,0.28586665,0.30635133,0.26666668,0.21621622,0.0001084804534912
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=tree,0.8637593250776331,0.2438964,0.23841357,0.12372254,0.104044765,0.0,0.24567074,0.22325155,0.16463415,0.13496932,0.0001082420349121
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=tree,0.4886074960231781,0.10663395,0.10968086,0.027186438,0.033141986,0.2024412155151367,0.08050341,0.087982416,0.036697246,0.032258064,0.8081400394439697
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,1.188714861869812,0.2659968,0.2934998,0.120509595,0.15885057,0.3519887924194336,0.253508,0.30560046,0.17333333,0.24324325,0.8365957736968994
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=tree,1.188714861869812,0.2659968,0.2934998,0.120509595,0.15885057,0.3519887924194336,0.253508,0.30560046,0.17333333,0.24324325,0.9423420429229736
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=10.0/voter=tree,0.8686467409133911,0.24098802,0.2367443,0.10584405,0.10151278,0.3714733123779297,0.22633806,0.21988493,0.12195122,0.13496932,0.9950954914093018
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.4886074960231781,0.10663395,0.10968086,0.027186438,0.033141986,0.2024412155151367,0.08050341,0.087982416,0.036697246,0.032258064,0.8127467632293701
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.49847096,0.4969325,0.0017914772033691
data=credit/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=tree,0.8686467409133911,0.24098802,0.2367443,0.10584405,0.10151278,0.3714733123779297,0.22633806,0.21988493,0.12195122,0.13496932,1.0057134628295898
data=usvotes/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=tree,0.4886074960231781,0.10663395,0.10968086,0.027186438,0.033141986,0.2024412155151367,0.08050341,0.087982416,0.036697246,0.032258064,0.8262672424316406
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=0.01/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.49847096,0.4969325,0.0069954395294189
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.40268457,0.527027,0.0001027584075927
data=credit/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.49847096,0.4969325,0.0070133209228515
data=heart/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=stump,1.0,0.5,0.5,0.25,0.25,0.0,0.5,0.5,0.40268457,0.527027,0.0001158714294433
data=heart/delta=0.05/epoch=2000/learner=bound-joint/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=100.0/voter=stump,1.0217689275741575,0.36362615,0.3705159,0.1172369,0.14667322,1.3001389503479004,0.29904997,0.33193117,0.11409396,0.19594595,1.30273699760437
data=usvotes/delta=0.05/epoch=2000/learner=nothing/max_depth=None/mc_draws=10/multi=False/nb_per_attribute=10/nb_tree=100/prior=0.5/rand_n=100/risk=exact/seed=0/sigmoid_c=100/sto_prior=1.0/voter=tree,0.5687462456628406,0.116743036,0.11758426,0.037683483,0.035723954,0.0,0.096055,0.09451608,0.055045873,0.03686636,0.0001020431518554
