,bound-blanchard-mean,bound-blanchard-std,bound-catoni-mean,bound-catoni-std,bound-kl-sample,bound-ours-mean,bound-ours-std,bound-renyi-sample,bound-rivasplata-mean,bound-rivasplata-std,div-kl,div-renyi,div-rivasplata-mean,div-rivasplata-std,post-risk-mean,post-risk-std,test-risk-mean,test-risk-std,prior-risk-mean,prior-risk-std
batch_size=32/bound=catoni/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9122899973392486,0.0120504040174137,0.90859885740803,0.012356300087797,0.945610523223877,0.9132752060890198,0.0119212628027056,0.9485819935798644,0.9087114898860454,0.0122026984388763,38.6353874206543,77.2707748413086,38.552178106307984,8.871837669038742,0.8970909118652344,0.0127726895734667,0.8970026969909668,0.0131854247301816,,
batch_size=32/bound=ours/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9011906594038008,0.0132779738024509,0.9017188599171172,0.0130470830629388,0.9400524497032166,0.9035846191644668,0.0131757348525176,0.940139651298523,0.9016438563168048,0.0132612379096149,0.4173548519611358,0.8347097039222717,0.4785154014825821,0.9274125988760376,0.8962731957435608,0.0135668348520994,0.896323561668396,0.0138568449765443,,
batch_size=32/bound=blanchard/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9120889128744604,0.0123501511983618,0.9083780922536964,0.0126739743895067,0.945422112941742,0.9130777895450592,0.0122201126178758,0.948435366153717,0.9084602831304074,0.0125111041200813,39.49806213378906,78.99612426757812,39.349705021381375,8.999017928147438,0.896728515625,0.0131024131551384,0.8966514468193054,0.0134365763515234,,
batch_size=32/bound=rivasplata/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9900000095367432,0.0,0.9999438490108246,3.570487436308365e-06,0.9900000095367432,0.9900000095367432,0.0,0.9900000095367432,0.9899990881979466,1.8403728048454856e-05,11988.646484375,23977.29296875,11990.817763671876,152.5565127036009,0.8995634317398071,0.0033733649179339,0.8998817205429077,0.0035085759591311,,
batch_size=32/bound=rivasplata/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9851603162288666,0.0061140435454351,0.9737798392447472,0.0101831122321617,0.988191545009613,0.985208954513073,0.0060793084089509,0.9900000095367432,0.9698905563354492,0.0090107872669287,3849.426025390625,7698.85205078125,3846.6992456054686,84.64281135086932,0.8918741345405579,0.0163203496485948,0.8921787738800049,0.0167621970176696,,
batch_size=32/bound=blanchard/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9900000095367432,0.0,0.999944034426685,3.461016227817709e-06,0.9900000095367432,0.9900000095367432,0.0,0.9900000095367432,0.9899998924136162,2.33953262915826e-06,12001.9921875,24003.984375,12004.196130371094,152.63189651724755,0.8997206687927246,0.0032788724638521,0.9000352621078491,0.0034335753880441,,
batch_size=32/bound=catoni/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9899989147484304,2.1868379422933503e-05,0.9970111862613572,0.0021183095730144,0.9900000095367432,0.9899977934360504,4.4266576667737446e-05,0.9900000095367432,0.9823781138658524,0.0012942365557647,5697.03271484375,11394.0654296875,5694.193845214843,102.90620395761307,0.8998984694480896,0.0031585895922034,0.9001898169517517,0.0033172310795634,,
batch_size=32/bound=ours/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.906734680235386,0.0023673704348107,0.9066787398268522,0.0021557641603982,0.9441074132919312,0.9089001485705376,0.0021115909027213,0.944452941417694,0.9068094877898694,0.0022358216537057,1.8835546970367432,3.7671093940734863,1.9219750502705573,1.8819613896141587,0.90118807554245,0.0021891188807785,0.9013497829437256,0.0021048027556389,,
batch_size=32/bound=None/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=None/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=prior/var=1e-05,0.901718043088913,0.0118206893739504,0.9025539855742838,0.0115818613906705,0.9406922459602356,0.904338386952877,0.0116936639069755,0.9406922459602356,0.9024443472921848,0.0117858391350516,0.0,0.0,0.0002477318048477,0.0054198528275242,0.8972203135490417,0.0120318662375211,0.8971312642097473,0.0125720640644431,,
batch_size=32/bound=None/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=None/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=prior/var=1e-06,0.9054334546625614,0.0019862367934558,0.9061937537205822,0.0019466453282224,0.94359028339386,0.908012498319149,0.0019618277077697,0.94359028339386,0.9061481401324272,0.0019794822749197,0.0,0.0,0.0003864988684654,0.0059391642513169,0.901003122329712,0.0020269232336431,0.9012340307235718,0.0019241865957155,,
batch_size=32/bound=rivasplata/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.91174617767334,0.0122018545704394,0.9080193419578542,0.0125107135911363,0.9451442956924438,0.9127194802463054,0.0121253481925048,0.948155403137207,0.908117157816887,0.0123764913782975,39.267520904541016,78.53504180908203,39.1954557299614,8.959229610969903,0.8963803052902222,0.0129962870851159,0.896274745464325,0.0135775180533528,,
batch_size=32/bound=ours/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9016047360002994,0.0119998431904264,0.9024181599717712,0.0117642886263439,0.9405840039253236,0.904202266037464,0.011880550107244,0.94058495759964,0.9023068736493588,0.0119688567008503,0.0044093653559684,0.0088187307119369,0.0052321702241897,0.0983210244282051,0.8970783948898315,0.0122239431366324,0.8969734907150269,0.0127928331494331,,
batch_size=32/bound=blanchard/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9260588823258876,0.0023753507711347,0.9257992895281778,0.003314651776566,0.9539400339126588,0.9266166812181472,0.0017872023721534,0.958924114704132,0.9195674759149552,0.0022015967238387,123.21218872070312,246.42437744140625,122.84554063796998,15.952026626638355,0.9009680151939392,0.0020521744154393,0.9011985063552856,0.0019579450599849,,
batch_size=32/bound=catoni/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9259992107748986,0.0023599332424455,0.9256752679513748,0.0032947349400466,0.9539101123809814,0.9265517784655094,0.0017630409136991,0.9588746428489684,0.9195335456728936,0.0021812091368789,122.13687133789062,244.27374267578125,121.8599568939209,15.929862831703469,0.9010029435157776,0.0020233008544892,0.9012352228164672,0.0019337610574439,,
batch_size=32/bound=ours/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9054322430491448,0.0023063951261673,0.9061757881335012,0.0022610542829994,0.9435757994651794,0.9079943640530108,0.0022779911156951,0.9435762763023376,0.9061304199695588,0.0022998360593184,0.0024406451266258,0.0048812902532517,0.0060582533478736,0.0682292471942904,0.9009835720062256,0.0023534127976745,0.9012112617492676,0.0022979876957833,,
batch_size=32/bound=rivasplata/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-06,0.9260696502029896,0.0025203275672407,0.9258376309208473,0.0033743553183619,0.9538894295692444,0.9265392746031283,0.0021277273647725,0.9588662385940552,0.9195655204355716,0.0024110355546326,122.6974868774414,245.3949737548828,123.30074337005615,15.940560952918949,0.9009323120117188,0.0024408979807049,0.9011375308036804,0.0024383892305195,,
batch_size=32/bound=None/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=None/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=prior/var=0.0001,0.9022910831868648,0.0162650346562263,0.9031204124447992,0.0159527385899358,0.9411504864692688,0.9048977960646152,0.016062490339481,0.9411504864692688,0.9030137062072754,0.0162094207120703,0.0,0.0,9.834766387939452e-05,0.004620139571515,0.8978165984153748,0.0166018307209014,0.897996723651886,0.0170214418321847,,
batch_size=32/bound=catoni/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9810800851881504,0.00813676848732,0.9667521208705232,0.0122480809357182,0.9852437376976012,0.9810984893143178,0.0081254261306797,0.9900000095367432,0.9648286303877832,0.0114165653347715,3327.997802734375,6655.99560546875,3331.617081298828,78.94549147771653,0.8890268206596375,0.0194868948310613,0.8891022205352783,0.0201172567903995,,
batch_size=32/bound=blanchard/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=1e-05,0.9858863681554796,0.0060009583232169,0.9751809294708504,0.0100374209112019,0.9888767600059508,0.9859132277965544,0.0059938386216552,0.9900000095367432,0.9710771039128304,0.0088706603863128,3836.2470703125,7672.494140625,3837.7848669433592,93.56023511359226,0.8943254351615906,0.0160964448004961,0.894266664981842,0.0165192075073719,,
batch_size=32/bound=ours/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.0001,0.90241044819355,0.0161507408425727,0.9031965593288906,0.0158460714097784,0.9412128925323486,0.9049794767796994,0.0159670219778462,0.9412158131599426,0.9030933882296084,0.0161015847385409,0.0135746737942099,0.0271493475884199,0.0096678733825683,0.1530971397155582,0.8978941440582275,0.0164958517998456,0.8979164958000183,0.0168587304651737,,
batch_size=32/bound=rivasplata/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.0001,0.9065119948983192,0.0160804142864856,0.9043565240135838,0.0162027518874675,0.9425920248031616,0.9079057247936726,0.01602032557562,0.9441159963607788,0.904921279847622,0.0162272694538052,12.324511528015137,24.64902305603028,12.82700002193451,4.8581315908311,0.8969661593437195,0.0168911926448345,0.8969629406929016,0.0172205660492181,,
batch_size=32/bound=catoni/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.0001,0.9075776693224908,0.015944127628847,0.9054689221444,0.0160254220264433,0.943462371826172,0.908977808356285,0.0158718029963484,0.9449462890625,0.9060347831249236,0.0160704199832835,11.975833892822266,23.95166778564453,12.474173307418823,4.773686548709777,0.8981829881668091,0.0167114790529012,0.8981625437736511,0.017074791714549,,
batch_size=32/bound=blanchard/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=1e-06/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.0001,0.9071427494287492,0.015914070075846,0.9049565378436236,0.0160256793756143,0.9430568814277648,0.9085033348202706,0.0158651927552707,0.9445850849151612,0.9055304160714148,0.0160545800922741,12.449416160583496,24.898832321166992,13.022547960281372,4.8178266115883215,0.8975581526756287,0.0167125258594751,0.8975669741630554,0.017158580943942,,
batch_size=32/bound=ours/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.0001,0.902771915346384,0.0155108818953489,0.903267313306277,0.015226343953825,0.941312849521637,0.9051752780377864,0.0153182011785696,0.9414218068122864,0.9032143679261208,0.0154735622084428,0.5310946702957153,1.0621893405914309,0.5161195993423462,0.9924624730946824,0.8978822827339172,0.0158350858837366,0.8981418013572693,0.0163408704102039,,
batch_size=32/bound=rivasplata/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.0001,0.9556782223284244,0.0125841364959538,0.943045525965718,0.0127794761249489,0.9687893986701964,0.955814624875784,0.0125816720905054,0.9795793294906616,0.9397621469199656,0.01475911507004,1225.3848876953125,2450.769775390625,1224.4631213378907,49.97011641468901,0.8863399028778076,0.0197362303733825,0.8862895369529724,0.0203557945787906,,
batch_size=32/bound=None/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=None/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=prior/var=0.001,0.9065317361056804,0.0134600089030766,0.9072755022227592,0.0131991509412897,0.9444562792778016,0.90908935084939,0.0132869716612804,0.9444562792778016,0.9072409090399742,0.0134124590978249,0.0,0.0,-9.536742480122485e-05,0.0043174172138094,0.9021390676498412,0.0137471938505768,0.902614951133728,0.0143109550699591,,
batch_size=32/bound=catoni/data=mnist/delta=0.05/model=mnist_NN/post_epoch=11/post_lr=0.0001/prior=0.0/prior_epoch=1/prior_lr=0.001/sample=400/step=post/var=0.0001,0.9562405344843864,0.0154922656246408,0.9413659074542576,0.0161149171861618,0.9682366251945496,0.956339204609394,0.0154301179366053,0.97993004322052,0.9389698983728886,0.0182821300726572,1481.1697998046875,2962.339599609375,1481.7260903930664,53.97308407405293,0.8795385956764221,0.0246376302093267,0.8794238567352295,0.0253796130418777,,
